Series_reference,Period,Type,Data_value,Lower_CI,Upper_CI,Units,Indicator,Cause,Validation,Population,Age,Severity
M_S11,2008-10,Moving average,90.66666667,79.89181529,101.441518,Injuries,Number,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S11,2009-11,Moving average,99.33333333,88.05525859,110.6114081,Injuries,Number,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S11,2010-12,Moving average,111.3333333,99.39345037,123.2732163,Injuries,Number,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S11,2011-13,Moving average,112,100.0244222,123.9755778,Injuries,Number,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S11,2012-14,Moving average,105.3333333,93.71963937,116.9470273,Injuries,Number,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S11,2013-15,Moving average,105,93.4046967,116.5953033,Injuries,Number,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S11,2014-16,Moving average,115.6666667,103.4966388,127.8366946,Injuries,Number,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S12,2000-02,Moving average,13.52233735,11.80464242,15.24003228,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S12,2001-03,Moving average,13.76102258,12.04072805,15.4813171,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S12,2002-04,Moving average,15.31232725,13.50910437,17.11555013,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S12,2003-05,Moving average,16.49166458,14.63133432,18.35199484,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S12,2004-06,Moving average,17.40395702,15.50471207,19.30320198,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S12,2005-07,Moving average,16.59850395,14.75116519,18.44584272,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S12,2006-08,Moving average,15.48916075,13.71089681,17.26742469,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S12,2007-09,Moving average,13.98864282,12.30709304,15.6701926,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S12,2008-10,Moving average,13.98215019,12.31210036,15.65220003,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S12,2009-11,Moving average,15.16337732,13.43083788,16.89591676,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S12,2010-12,Moving average,16.89188271,15.06736737,18.71639805,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S12,2011-13,Moving average,16.91643793,15.09245213,18.74042373,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S12,2012-14,Moving average,15.87931972,14.1114431,17.64719635,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S12,2013-15,Moving average,15.68572354,13.93110346,17.44034363,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S12,2014-16,Moving average,16.86536115,15.06251539,18.66820692,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
M_F01C,2000-02,Moving average,28.66666667,22.60801391,34.72531942,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2001-03,Moving average,28.33333333,22.3100083,34.35665836,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2002-04,Moving average,32.66666667,26.19911549,39.13421785,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2003-05,Moving average,38.33333333,31.32724262,45.33942405,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2004-06,Moving average,48,40.16014406,55.83985594,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2005-07,Moving average,49.66666667,41.69186354,57.64146979,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2006-08,Moving average,51,42.91886147,59.08113853,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2007-09,Moving average,49.66666667,41.69186354,57.64146979,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2008-10,Moving average,49.66666667,41.69186354,57.64146979,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2009-11,Moving average,54.33333333,45.99228499,62.67438168,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2010-12,Moving average,62.33333333,53.39929854,71.26736813,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2011-13,Moving average,79.33333333,69.25438277,89.41228389,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2012-14,Moving average,85.66666667,75.19312902,96.14020431,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2013-15,Moving average,85.66666667,75.19312902,96.14020431,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2014-16,Moving average,91.33333333,80.51894109,102.1477256,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2015-17,Moving average,104.6666667,93.08978324,116.2435501,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2016-18,Moving average,116.3333333,104.1282837,128.538383,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2000-02,Moving average,530.2205625,418.1296973,642.3114276,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2001-03,Moving average,496.3324526,390.8098928,601.8550124,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2002-04,Moving average,543.5385469,435.9253825,651.1517113,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2003-05,Moving average,601.9186619,491.9022111,711.9351127,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2004-06,Moving average,709.8313632,593.8309728,825.8317536,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2005-07,Moving average,690.1857613,579.2487987,801.1227239,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2006-08,Moving average,671.4610281,564.8727307,778.0493256,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2007-09,Moving average,609.4538,511.3851393,707.5224607,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2008-10,Moving average,562.3863857,471.9243534,652.848418,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2009-11,Moving average,579.1147355,490.020018,668.2094529,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2010-12,Moving average,616.6259578,528.0273985,705.2245172,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2011-13,Moving average,738.098135,644.0620467,832.1342233,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2012-14,Moving average,746.8192441,655.1956003,838.4428878,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2013-15,Moving average,697.3470878,611.8146648,782.8795108,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2014-16,Moving average,696.2571446,613.6428122,778.871477,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2015-17,Moving average,742.4814893,660.0979244,824.8650542,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2016-18,Moving average,774.0521776,692.4521273,855.6522279,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F21C,2000-02,Moving average,31,24.69959728,37.30040272,Injuries,Number,Falls,Validated,Maori,75+ years,Serious
M_F21C,2001-03,Moving average,32,25.59878443,38.40121557,Injuries,Number,Falls,Validated,Maori,75+ years,Serious
M_F21C,2002-04,Moving average,38.33333333,31.32724262,45.33942405,Injuries,Number,Falls,Validated,Maori,75+ years,Serious
M_F21C,2003-05,Moving average,44,36.4939094,51.5060906,Injuries,Number,Falls,Validated,Maori,75+ years,Serious
M_F21C,2004-06,Moving average,55.33333333,46.91587684,63.75078983,Injuries,Number,Falls,Validated,Maori,75+ years,Serious
M_F21C,2005-07,Moving average,56.66666667,48.14839872,65.18493461,Injuries,Number,Falls,Validated,Maori,75+ years,Serious
M_F21C,2006-08,Moving average,59.33333333,50.61693965,68.04972702,Injuries,Number,Falls,Validated,Maori,75+ years,Serious
M_F21C,2007-09,Moving average,58,49.3820998,66.6179002,Injuries,Number,Falls,Validated,Maori,75+ years,Serious
M_F21C,2008-10,Moving average,60.66666667,51.85288008,69.48045325,Injuries,Number,Falls,Validated,Maori,75+ years,Serious
M_F21C,2009-11,Moving average,65,55.87686415,74.12313585,Injuries,Number,Falls,Validated,Maori,75+ years,Serious
M_F21C,2010-12,Moving average,73,63.33172725,82.66827275,Injuries,Number,Falls,Validated,Maori,75+ years,Serious
M_F21C,2011-13,Moving average,89.33333333,78.63800224,100.0286644,Injuries,Number,Falls,Validated,Maori,75+ years,Serious
M_F21C,2012-14,Moving average,99.66666667,88.36968483,110.9636485,Injuries,Number,Falls,Validated,Maori,75+ years,Serious
M_F21C,2013-15,Moving average,101,89.62770412,112.3722959,Injuries,Number,Falls,Validated,Maori,75+ years,Serious
M_F21C,2014-16,Moving average,109,97.1858981,120.8141019,Injuries,Number,Falls,Validated,Maori,75+ years,Serious
M_F22C,2000-02,Moving average,573.1444061,456.6278746,689.6609375,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious
M_F22C,2001-03,Moving average,560.3479541,448.2481124,672.4477958,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious
M_F22C,2002-04,Moving average,637.8258458,521.251957,754.3997346,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious
M_F22C,2003-05,Moving average,691.2972002,573.3609562,809.2334442,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious
M_F22C,2004-06,Moving average,820.4789038,695.5930947,945.3647128,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious
M_F22C,2005-07,Moving average,789.2889229,670.5168959,908.0609498,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious
M_F22C,2006-08,Moving average,783.5618436,668.2492504,898.8744368,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious
M_F22C,2007-09,Moving average,711.7937251,605.8090732,817.778377,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious
M_F22C,2008-10,Moving average,686.9539322,586.9729048,786.9349596,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious
M_F22C,2009-11,Moving average,691.0224754,593.8176152,788.2273356,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious
M_F22C,2010-12,Moving average,721.9292154,626.0827917,817.7756391,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious
M_F22C,2011-13,Moving average,832.7786645,732.8033225,932.7540065,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious
M_F22C,2012-14,Moving average,868.6713273,769.8737113,967.4689434,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious
M_F22C,2013-15,Moving average,819.8403341,727.2379144,912.4427537,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious
M_F22C,2014-16,Moving average,828.1933264,738.2439863,918.1426665,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious
M_W01,2002-04,Moving average,63,54.01831668,71.98168332,Injuries,Number,Work,Validated,Maori,All ages,Serious non-fatal
M_W01,2003-05,Moving average,63,54.01831668,71.98168332,Injuries,Number,Work,Validated,Maori,All ages,Serious non-fatal
M_W01,2004-06,Moving average,65,55.87686415,74.12313585,Injuries,Number,Work,Validated,Maori,All ages,Serious non-fatal
M_W01,2005-07,Moving average,74.33333333,64.57716539,84.08950128,Injuries,Number,Work,Validated,Maori,All ages,Serious non-fatal
M_W01,2006-08,Moving average,73.33333333,63.64301204,83.02365462,Injuries,Number,Work,Validated,Maori,All ages,Serious non-fatal
M_W01,2007-09,Moving average,69.33333333,59.91099914,78.75566753,Injuries,Number,Work,Validated,Maori,All ages,Serious non-fatal
M_W01,2008-10,Moving average,65.33333333,56.18683474,74.47983193,Injuries,Number,Work,Validated,Maori,All ages,Serious non-fatal
M_W01,2009-11,Moving average,61.66666667,52.78053589,70.55279744,Injuries,Number,Work,Validated,Maori,All ages,Serious non-fatal
M_W01,2010-12,Moving average,66.66666667,57.42730784,75.9060255,Injuries,Number,Work,Validated,Maori,All ages,Serious non-fatal
M_W01,2011-13,Moving average,63.33333333,54.32792029,72.33874637,Injuries,Number,Work,Validated,Maori,All ages,Serious non-fatal
M_W01,2012-14,Moving average,62,53.08988502,70.91011498,Injuries,Number,Work,Validated,Maori,All ages,Serious non-fatal
M_W01,2013-15,Moving average,59.33333333,50.61693965,68.04972702,Injuries,Number,Work,Validated,Maori,All ages,Serious non-fatal
M_W01,2014-16,Moving average,59,50.30812505,67.69187495,Injuries,Number,Work,Validated,Maori,All ages,Serious non-fatal
M_W01,2015-17,Moving average,63.66666667,54.63758627,72.69574706,Injuries,Number,Work,Validated,Maori,All ages,Serious non-fatal
